10.1101/2020.01.09.20016774	10.1016/j.msard.2020.102279	5	5	True	True	False	True	1.0	The ocrelizumab phase II extension trial suggests the potential to improve the risk:benefit balance in multiple sclerosis	The ocrelizumab phase II extension trial suggests the potential to improve the risk: Benefit balance in multiple sclerosis.
10.1101/2020.02.11.20020735	10.1016/j.eclinm.2020.100329	5	5	True	True	False	True	0.9090909090909091	Facemask shortage and the coronavirus disease (COVID-19) outbreak: Reflection on public health measures	Facemask shortage and the novel coronavirus disease (COVID-19) outbreak: Reflections on public health measures
10.1101/19011957	10.2196/17003	6	6	True	True	True	True	0.9444444444444444	Impact Of Electronic Health Record Interface Design On Unsafe Prescribing Of Ciclosporin, Tacrolimus and Diltiazem: A Cohort Study In English NHS Primary Care	Impact Of Electronic Health Record Interface Design On Unsafe Prescribing Of Ciclosporin, Tacrolimus and Diltiazem: A Cohort Study In English NHS Primary Care (Preprint)
10.1101/2020.05.22.20107292	10.1016/j.meegid.2020.104390	13	13	True	True	True	True	1.0	Molecular analysis of several in-house rRT-PCR protocols for SARS-CoV-2 detection in the context of genetic variability of the virus in Colombia.	Molecular analysis of several in-house rRT-PCR protocols for SARS-CoV-2 detection in the context of genetic variability of the virus in Colombia
10.1101/19005116	10.1186/s13148-019-0793-z	7	7	True	True	True	True	1.0	Epigenome-wide association study of seizures in childhood and adolescence	Epigenome-wide association study of seizures in childhood and adolescence
10.1101/2020.03.23.20039842	10.1016/s2542-5196(20)30107-8	5	5	True	True	False	True	1.0	Air Pollution Reduction and Mortality Benefit during the COVID-19 Outbreak in China	Air pollution reduction and mortality benefit during the COVID-19 outbreak in China
10.1101/19006833	10.1002/ijc.32929	19	19	True	True	True	True	1.0	Reproductive Factors and Risk of Breast Cancer by Tumor Subtypes among Ghanaian Women: A Population-based Case-control Study	Reproductive factors and risk of breast cancer by tumor subtypes among Ghanaian women: A population‐based case–control study
10.1101/2020.04.16.20065920	10.1016/j.medj.2020.06.001	7	7	True	True	False	True	1.0	Outcomes of hydroxychloroquine usage in United States veterans hospitalized with Covid-19	Outcomes of Hydroxychloroquine Usage in United States Veterans Hospitalized with COVID-19
10.1101/19009167	10.1161/jaha.119.015012	8	8	True	True	False	True	0.8	Bringing Critical Race Praxis into the Study of Electrophysiological Substrate of Sudden Cardiac Death: The Atherosclerosis Risk in Communities (ARIC) Study	Bringing Critical Race Praxis Into the Study of Electrophysiological Substrate of Sudden Cardiac Death: The ARIC Study
10.1101/2020.05.07.20093898	10.1007/s40264-020-00952-1	7	7	True	True	False	True	1.0	Remdesivir in treatment of COVID-19: A systematic benefit-risk assessment	Remdesivir in Treatment of COVID-19: A Systematic Benefit–Risk Assessment
10.1101/2020.04.17.20069526	10.1111/codi.15138	5	5	True	True	False	True	1.0	Persistent viral shedding of SARS-CoV-2 in faeces - a rapid review	Persistent viral shedding of SARS‐CoV‐2 in faeces – a rapid review
10.1101/2020.02.10.20021758	10.1007/s00415-020-09824-1	7	7	True	True	True	True	1.0	Metabolomic changes associated with frontotemporal lobar degeneration syndromes	Metabolomic changes associated with frontotemporal lobar degeneration syndromes
